Timestamp,How fast does human hair grow (cm/yr)?,"If every living person stood crammed together side-by-side, how large of an area would they occupy (km²)?","How many days would it take to walk from San Diego to New York City (assuming no stopping to fix shoes, apply sunscreen, or for sleeping, eating, or other biological needs)?"
4/7/2021 9:59:28,100,10000,10
4/7/2021 12:45:54,10 cm/yr,7000 km^2,45 days 
4/7/2021 19:17:46,20,10000,50
4/9/2021 9:10:29,20,1000000,500
4/9/2021 9:10:31,10cm/yr,1km^2,20 days
4/9/2021 9:10:43,10,100000,9
4/9/2021 9:10:43,10cm/yr,10000,50
4/9/2021 9:10:47,3,10000,63
4/9/2021 9:10:48,10cm,1500000,14 days 
4/9/2021 9:10:50,15 cm/yr,"20,000 km^2",50 days
4/9/2021 9:10:51,200,10000000,100
4/9/2021 9:10:52,5/year,100 million,30 days
4/9/2021 9:10:55,20 cm/year,"10,000 km^2",50 days
4/9/2021 9:10:55,5,5000000000,3
4/9/2021 9:10:59,50,700000000,7
4/9/2021 9:11:00,10,1000,500
4/9/2021 9:11:02,2,1000000,31
4/9/2021 9:11:03,20 cm/year,"230,000",45 days
4/9/2021 9:11:04,15 cm/yr,Texas?,Over 3000 days?
4/9/2021 9:11:05,10,1000000,14
4/9/2021 9:11:07,100,2000,30
4/9/2021 9:11:07,10,2222,19
4/9/2021 9:11:07,50,100000000,40
4/9/2021 9:11:08,8cm a year,"20,000 km^2",2 months
4/9/2021 9:11:08,10,50,150
4/9/2021 9:11:08,10,100000,10000
4/9/2021 9:11:09,"1,000cm/yr",1000000000000,4 weeks
4/9/2021 9:11:09,60,5000,15
4/9/2021 9:11:10,6,100,100
4/9/2021 9:11:11,10,100000,180
4/9/2021 9:11:11,14cm/yr,500000 km²,700 days
4/9/2021 9:11:11,2cm,i'm bad at area lol,65 days
4/9/2021 9:11:13,10,1000,500
4/9/2021 9:11:15,52.8,300,7
4/9/2021 9:11:17,12 cm/yr,100000 km,25 days
4/9/2021 9:11:18,24,400,1500
4/9/2021 9:11:18,20cm/yr,"6,000,000,000 km^2",90 days
4/9/2021 9:11:18,20 cm/yr,"10,000km^2",20 days 
4/9/2021 9:11:18,72 cm/yr,100000000 km2,15
4/9/2021 9:11:19,20cm/1yr,"800,000km^2",25 days
4/9/2021 9:11:20,2,100,300
4/9/2021 9:11:22,12,100,30
4/9/2021 9:11:23,100cm/yr,10000,100
4/9/2021 9:11:23,12,1000,120 days
4/9/2021 9:11:23,50,100,20
4/9/2021 9:11:23,20,10000,90
4/9/2021 9:11:23,3,"20,000,000,000,000",100
4/9/2021 9:11:23,5 cm/y,300,20 days
4/9/2021 9:11:23,8,25000,1000
4/9/2021 9:11:24,4,807,5000
4/9/2021 9:11:24,365,50000000,90
4/9/2021 9:11:24,13 cm/yr,"500,000 km^2",14 days
4/9/2021 9:11:25,30 cm/yr,100 km^2,30 days
4/9/2021 9:11:26,20,10,60
4/9/2021 9:11:26,12 cm/ yr,10000,60
4/9/2021 9:11:28,100,"1,000,000",60
4/9/2021 9:11:32,5 cm/yr,1000,15 days
4/9/2021 9:11:33,5,2 billion,50
4/9/2021 9:11:37,12 cm/yr,200,4 days
4/9/2021 9:11:38,55,1000000,42
4/9/2021 9:11:38,35,0.04,15
4/9/2021 9:11:38,6,5000,45
4/9/2021 9:11:40,1000,100000000,100000
4/9/2021 9:11:42,15cm/yr,"100,000,000",700
4/9/2021 9:11:43,15,2000,43
4/9/2021 9:11:46,10,2000,150
4/9/2021 9:11:47,2,"28,000,000",150
4/9/2021 9:11:47,10,1million,3
4/9/2021 9:11:49,10,"15,000",10
4/9/2021 9:11:49,15cm/yr,"100,000,000km²",200 days
4/9/2021 9:11:50,40,10000,100
4/9/2021 9:11:54,10,8 million ,15 days
4/9/2021 9:11:57,7,7000,28
4/9/2021 9:12:03,30,10000000,100
4/9/2021 9:12:04,0.1,10,1000
4/9/2021 9:12:18,10,50,700
4/9/2021 9:12:18,5,70000000,200
4/9/2021 9:12:21,10cm,100000000,1000
4/9/2021 9:12:27,2,420,90
4/9/2021 9:12:30,5,2000000,45
4/9/2021 9:12:39,15,"500,000",5 days
4/9/2021 9:12:45,15cm,"1,000,000 km^2",30 days
4/9/2021 9:13:02,15 cm/yr,1 billion,30 days
4/9/2021 9:15:15,4,"22,500,000,000",50
4/9/2021 9:21:41,20,190000,40