new_id,enrolled,To which of the following do you have access to this Spring Quarter?,"Use the map below to answer this question. During this quarter, what time zone are you in? (For example, if you are in San Diego, your answer would be -7. If you are in UTC, respond with 0)","Check all that apply: Before COGS 108, which of the following skills do you feel you possess? (Note: you're not expected to have any of these before taking the class; we're just curious!)",In which of the following programming language(s) are you comfortable? Check all that apply.,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?
235_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"pandas (the package, not the animal)",5,5
236_sp21,1,NA,NA,NA,NA,NA,NA,NA
237_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB, R","Python, Jupyter Notebooks, machine learning",7,10
238_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"data science, Python, Jupyter Notebooks, machine learning, confounding, p-value, pandas (the package, not the animal)",4,7
238_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"GitHub, Jupyter Notebooks, p-value, pandas (the package, not the animal)",4,5
239_sp21,1,NA,NA,NA,NA,NA,NA,NA
240_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Identify and explain how to approach an unfamiliar data science task,"Python, Java, MATLAB, R","data science, Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal), A|B testing",10,8
241_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm not comfortable programming),none of the above,3,1
242_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Java, None of these (I'm comfortable in another language)","version control (i.e. git), GitHub, JSON",7,9
243_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, MATLAB","Python, confounding, p-value, A|B testing",6,7
244_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value, pandas (the package, not the animal), A|B testing",9,10
245_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Java, None of these (I'm comfortable in another language)","JSON, A|B testing",4,8
246_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",7,10
247_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,None of these,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON",7,8
248_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Formulate a plan for and complete a data science project from start (question) to finish (communication),MATLAB,Jupyter Notebooks,8,7
249_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations",Python,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",7,9
250_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,Communicate results concisely and effectively in reports and presentations,"Python, Java","data science, Python, Jupyter Notebooks, tabular data, machine learning",6,7
251_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, pandas (the package, not the animal), sklearn",7,7
252_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"GitHub, Python, Jupyter Notebooks, machine learning, pandas (the package, not the animal), sklearn",5,7
253_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Python,Python,5,4
254_sp21,1,Reliable Internet,-5,None of these,Java,none of the above,2,7
255_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, R","data science, Python, Jupyter Notebooks, confounding, p-value, sentiment analysis, A|B testing",6,7
256_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm not comfortable programming),none of the above,5,6
257_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Python,none of the above,5,4
258_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm not comfortable programming),GitHub,4,2
259_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning",7,9
260_sp21,1,NA,NA,NA,NA,NA,NA,NA
261_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, A|B testing",7,9
262_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",7,8
263_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, MATLAB","version control (i.e. git), GitHub, Python, A|B testing",4,6
264_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,None of these,None of these (I'm not comfortable programming),"p-value, none of the above",5,4
265_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON",9,10
266_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Identify and explain how to approach an unfamiliar data science task","Python, Java","Python, pandas (the package, not the animal)",4,5
267_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,Communicate results concisely and effectively in reports and presentations,"Python, Java, None of these (I'm comfortable in another language)","version control (i.e. git), GitHub, Python, p-value",7,7
268_sp21,1,NA,NA,NA,NA,NA,NA,NA
269_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","version control (i.e. git), GitHub, Python, machine learning, sentiment analysis",5,9
270_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-5,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Java, R","data science, version control (i.e. git), GitHub, Jupyter Notebooks, confounding, p-value",9,8
271_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Identify and explain how to approach an unfamiliar data science task,"Java, MATLAB, R, None of these (I'm comfortable in another language)","Jupyter Notebooks, p-value",3,6
272_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java, MATLAB","version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value, pandas (the package, not the animal), A|B testing",8,8
273_sp21,1,"A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm not comfortable programming),none of the above,1,1
274_sp21,1,NA,NA,NA,NA,NA,NA,NA
275_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, pandas (the package, not the animal), sklearn",8,9
276_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, p-value, pandas (the package, not the animal), A|B testing",7,8
277_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, p-value",7,7
278_sp21,1,NA,NA,NA,NA,NA,NA,NA
279_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Java, MATLAB","version control (i.e. git), GitHub",6,9
280_sp21,1,"A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, MATLAB, None of these (I'm not comfortable programming)","Python, none of the above",2,5
281_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Python,"Python, Jupyter Notebooks, pandas (the package, not the animal)",5,4
282_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations",Python,"Python, Jupyter Notebooks",7,8
283_sp21,1,"Reliable Internet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java, MATLAB","version control (i.e. git), GitHub, Python",4,8
284_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON",5,10
285_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, pandas (the package, not the animal)",5,10
286_sp21,1,NA,NA,NA,NA,NA,NA,NA
287_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"Python, Jupyter Notebooks, confounding, p-value",7,3
288_sp21,1,NA,NA,NA,NA,NA,NA,NA
289_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, MATLAB","Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value, p-hacking",7,4
290_sp21,1,NA,NA,NA,NA,NA,NA,NA
291_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,None of these,"Python, MATLAB","Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",3,4
292_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",0,None of these,"Python, Java, MATLAB","data science, GitHub, Python, Jupyter Notebooks, JSON, p-value, p-hacking, pandas (the package, not the animal), A|B testing",6,9
293_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",8,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python","Python, Java","GitHub, Python, Jupyter Notebooks, machine learning",6,8
294_sp21,1,NA,NA,NA,NA,NA,NA,NA
295_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Java,"version control (i.e. git), GitHub, JSON",5,7
296_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,Communicate results concisely and effectively in reports and presentations,Python,Python,5,4
297_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java, None of these (I'm comfortable in another language)","version control (i.e. git), GitHub, Python",6,8
298_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",8,8
299_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java","version control (i.e. git), GitHub, Python, JSON, machine learning",7,8
300_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,Communicate results concisely and effectively in reports and presentations,"Python, Java, MATLAB","data science, GitHub, Python, Jupyter Notebooks, p-value, A|B testing",8,7
300_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB","data science, GitHub, Python, Jupyter Notebooks, machine learning, p-value, A|B testing",8,7
301_sp21,1,NA,NA,NA,NA,NA,NA,NA
302_sp21,1,"A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java","version control (i.e. git), GitHub, pandas (the package, not the animal)",3,8
303_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,None of these (I'm not comfortable programming),p-value,5,5
304_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, R","version control (i.e. git), GitHub, Python, machine learning",9,10
305_sp21,1,NA,NA,NA,NA,NA,NA,NA
306_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",9,10
307_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java, MATLAB","version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value",3,10
308_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-6,Communicate results concisely and effectively in reports and presentations,Java,"version control (i.e. git), GitHub, JSON, A|B testing",7,9
309_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm not comfortable programming),"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value, p-hacking",4,5
310_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, MATLAB","Python, Jupyter Notebooks",6,8
311_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Java,"Python, A|B testing",3,5
312_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python","Python, Java, MATLAB","version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value, sklearn, A|B testing",6,9
313_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations",Python,"Python, Jupyter Notebooks, tabular data, p-value",6,3
314_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations",Java,"version control (i.e. git), GitHub, Jupyter Notebooks, machine learning",7,9
315_sp21,1,"A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","version control (i.e. git), GitHub, Python, JSON",5,10
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+9,None of these,"Python, Java","version control (i.e. git), GitHub, JSON",3,8
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, R","GitHub, Python, Jupyter Notebooks, machine learning, p-value, p-hacking",10,9
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Identify and explain how to approach an unfamiliar data science task",R,"data science, Python, Jupyter Notebooks, machine learning, p-value, geospatial analysis, pandas (the package, not the animal)",5,4
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,None of these,None of these (I'm not comfortable programming),none of the above,5,6
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+5,Communicate results concisely and effectively in reports and presentations,"Java, MATLAB","GitHub, Python, machine learning",6,8
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Identify and explain how to approach an unfamiliar data science task,"Python, Java, MATLAB","GitHub, Python",5,7
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Java, MATLAB, R","GitHub, Python, p-value, pandas (the package, not the animal)",8,7
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm comfortable in another language),none of the above,1,2
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,MATLAB,none of the above,7,6
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java","data science, version control (i.e. git), GitHub, Python, JSON, machine learning, p-value, A|B testing",3,8
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",0,None of these,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",2,6
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Python,"GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",7,4
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",8,10
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, R","data science, Python, Jupyter Notebooks, machine learning, p-value, pandas (the package, not the animal), sklearn",9,9
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Java,GitHub,3,9
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB","data science, GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",8,8
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Formulate a plan for and complete a data science project from start (question) to finish (communication),Python,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",5,5
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Java,p-value,7,7
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Python,"Python, p-value",6,4
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"GitHub, Python, Jupyter Notebooks, p-value, sentiment analysis, pandas (the package, not the animal)",5,3
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm not comfortable programming),none of the above,6,6
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,Communicate results concisely and effectively in reports and presentations,Python,"Python, Jupyter Notebooks, pandas (the package, not the animal)",3,4
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java","Python, Jupyter Notebooks",7,7
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations",Python,"Jupyter Notebooks, confounding, p-value, p-hacking",9,4
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,None of these,Java,Jupyter Notebooks,7,7
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java","Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal), A|B testing",3,5
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task",Python,"GitHub, Python, Jupyter Notebooks, pandas (the package, not the animal), sklearn",6,7
NA,0,"Reliable Internet, A functioning laptop or tablet",+8,None of these,"Python, Java","GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",5,8
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,Communicate results concisely and effectively in reports and presentations,"Java, MATLAB, R","Jupyter Notebooks, confounding, p-value",6,6
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task",Python,"Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",4,4
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",0,Identify and explain how to approach an unfamiliar data science task,Python,"pandas (the package, not the animal)",5,5
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",6,8
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java, MATLAB","Python, Jupyter Notebooks, JSON, p-value, pandas (the package, not the animal)",7,8
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python","Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning",7,10
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java","data science, Python, Jupyter Notebooks, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",6,8
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,None of these,Java,"version control (i.e. git), GitHub",4,7
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, MATLAB, R","Python, A|B testing",5,5
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task",Python,"data science, GitHub, Python, Jupyter Notebooks, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",7,7
NA,0,"A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Identify and explain how to approach an unfamiliar data science task","Python, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",4,6
NA,0,"A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java, MATLAB","Python, Jupyter Notebooks, machine learning",2,8
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,MATLAB,none of the above,4,3
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Java, None of these (I'm not comfortable programming)",none of the above,4,5
NA,0,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Java,p-value,6,5
