Timestamp,How fast does human hair grow (cm/yr)?,"If every living person stood crammed together side-by-side, how large of an area would they occupy (kmÂ²)?","How many days would it take to walk from San Diego to New York City (assuming no stopping to fix shoes, apply sunscreen, or for sleeping, eating, or other biological needs)?"
1/24/2024 9:50:07,100,the size of Egypt,1 week
1/24/2024 9:50:10,5,/,/
1/24/2024 9:50:11,10cm/yr,5,32
1/24/2024 9:50:14,6,10000,50
1/24/2024 9:50:14,5,1000,300
1/24/2024 9:50:23,24,1000,50 days
1/24/2024 9:50:26,10,1000,25
1/24/2024 9:50:27,10cm,100000,3 weeks
1/24/2024 9:50:28,0.75,250,100
1/24/2024 9:50:28,4,About the size of rhode island (xkcd),365
1/24/2024 9:50:39,"0.5cm, 1 year",5,150
1/24/2024 9:50:41,3,5,150
1/24/2024 9:50:42,8,100,150
1/24/2024 9:50:43,10,10000,30
1/24/2024 9:51:07,1yr,100000km,50
1/24/2024 9:51:10,15,100000,90 days
1/24/2024 9:51:13,40,"100,000",70
1/24/2024 9:51:26,40,500,40
1/24/2024 9:51:36,10cm/yr,30km2,700days
1/24/2024 9:51:36,30cm,3 million,1 year
1/24/2024 9:51:38,70,1000000,280
1/24/2024 9:51:42,10,idk,58
1/24/2024 9:51:43,10-15cm/yr,how ever large is 4/9 of the world surface area,"since i know it takes roughly a week to get from here to east coast, i would say 1.5-2 months"
1/24/2024 9:51:56,10 cm per year,100,125 days
1/24/2024 9:52:06,100,16000,250
1/24/2024 9:52:17,(6cm/yr),"10,000 km^2",80 days
1/24/2024 9:52:24,6,100,40
1/24/2024 9:52:31,150,10 billion ,1 year 
1/24/2024 9:52:40,15cm/yr,100,20 days
1/24/2024 9:53:39,20,5,1000
1/24/2024 9:53:47,30,100000,15
1/24/2024 9:53:53,4cm/yr,1000,70
1/24/2024 9:53:54,30cm per year,100000,15
1/24/2024 9:54:05,6,1000,75
1/24/2024 9:54:49,5,490000,32
1/24/2024 9:55:03,10,1000,100
1/24/2024 9:55:10,30,100,90 days
1/24/2024 9:56:01,12,"500,000",24 days (2800 miles / 5mph)
1/24/2024 9:56:07,6cm/yr,500000km^2,20 days
1/24/2024 9:56:39,10^2,10^4,10^5
1/24/2024 9:56:57,23,1000,24
1/24/2024 9:57:05,8,300,40
1/24/2024 9:57:12,2-4,258,90
1/24/2024 9:59:49,10,7mil km^2,5 hrs
1/24/2024 14:49:50,10,New York,166
1/24/2024 14:50:11,6,100,250
1/24/2024 14:50:16,2.5,5000000,40
1/24/2024 14:50:34,30,700000000,200
1/24/2024 14:51:38,5cm/yr,500000,40
1/24/2024 14:52:36,30,4500000,30
1/24/2024 14:53:20,15,6000,150
1/24/2024 14:53:25,20,16000000,17
1/24/2024 14:53:27,15,100000,50
1/24/2024 14:53:50,20,20000,20
1/24/2024 14:54:11,12,2000000,42
1/24/2024 14:54:54,40,4000000,40
1/24/2024 14:55:45,10,100,2 years
1/24/2024 15:02:26,10,1000000,100
1/24/2024 15:03:12,52,4876800,50 days